start_frame,end_frame,start_time,end_time,duration,checks
0,960,0.0,16.016,16.016,81
4956,5400,82.683,90.09,7.407,38
5640,24084,94.094,401.801,307.707,1538
24384,40788,406.806,680.48,273.673,1368
40872,83832,681.881,1398.597,716.716,3581
83904,83952,1399.798,1400.599,0.801,5
84192,84228,1404.603,1405.204,0.601,4
84312,84528,1406.605,1410.209,3.604,19
85656,146208,1429.028,2439.237,1010.209,5047
146292,146508,2440.638,2444.242,3.604,19
146700,146784,2447.445,2448.846,1.401,8
147444,154440,2459.857,2576.574,116.717,584
154524,154764,2577.975,2581.979,4.004,21
155640,159312,2596.594,2657.855,61.261,307
159696,159912,2664.262,2667.865,3.604,19
159948,160044,2668.466,2670.067,1.602,9
160080,160116,2670.668,2671.269,0.601,4
160272,163464,2673.871,2727.124,53.253,267
163728,166224,2731.529,2773.17,41.642,209
166284,170316,2774.171,2841.439,67.267,337
