frame,video_time,scoreboard_present
0,0.0,1
12,0.2,1
24,0.4,1
36,0.601,1
48,0.801,1
60,1.001,1
72,1.201,1
84,1.401,1
96,1.602,1
108,1.802,1
120,2.002,1
132,2.202,1
144,2.402,1
156,2.603,1
168,2.803,1
180,3.003,1
192,3.203,1
204,3.403,1
216,3.604,1
228,3.804,1
240,4.004,1
252,4.204,1
264,4.404,1
276,4.605,1
288,4.805,1
300,5.005,1
312,5.205,1
324,5.405,1
336,5.606,1
348,5.806,1
360,6.006,1
372,6.206,1
384,6.406,1
396,6.607,1
408,6.807,1
420,7.007,1
432,7.207,1
444,7.407,1
456,7.608,1
468,7.808,1
480,8.008,1
492,8.208,1
504,8.408,1
516,8.609,1
528,8.809,1
540,9.009,1
552,9.209,1
564,9.409,1
576,9.61,1
588,9.81,1
600,10.01,1
612,10.21,1
624,10.41,1
636,10.611,1
648,10.811,1
660,11.011,1
672,11.211,1
684,11.411,1
696,11.612,1
708,11.812,1
720,12.012,1
732,12.212,1
744,12.412,1
756,12.613,1
768,12.813,1
780,13.013,1
792,13.213,1
804,13.413,1
816,13.614,1
828,13.814,1
840,14.014,1
852,14.214,1
864,14.414,1
876,14.615,1
888,14.815,1
900,15.015,1
912,15.215,1
924,15.415,1
936,15.616,1
948,15.816,1
960,16.016,1
972,16.216,0
984,16.416,0
996,16.617,0
1008,16.817,0
1020,17.017,0
1032,17.217,0
1044,17.417,1
1056,17.618,0
1068,17.818,0
1080,18.018,1
1092,18.218,0
1104,18.418,0
1116,18.619,0
1128,18.819,0
1140,19.019,0
1152,19.219,0
1164,19.419,0
1176,19.62,0
1188,19.82,0
1200,20.02,0
1212,20.22,0
1224,20.42,0
1236,20.621,0
1248,20.821,0
1260,21.021,0
1272,21.221,0
1284,21.421,0
1296,21.622,0
1308,21.822,0
1320,22.022,0
1332,22.222,0
1344,22.422,0
1356,22.623,0
1368,22.823,0
1380,23.023,0
1392,23.223,0
1404,23.423,0
1416,23.624,0
1428,23.824,0
1440,24.024,0
1452,24.224,0
1464,24.424,0
1476,24.625,0
1488,24.825,0
1500,25.025,0
1512,25.225,0
1524,25.425,0
1536,25.626,0
1548,25.826,0
1560,26.026,0
1572,26.226,0
1584,26.426,0
1596,26.627,0
1608,26.827,0
1620,27.027,0
1632,27.227,0
1644,27.427,0
1656,27.628,0
1668,27.828,0
1680,28.028,0
